"LOA DATE",PRODUCT,MODEL,"PRIMARY VIOLATION",CITATION,"ACTION REQUESTED",FIRM,"ADDRESS 1","ADDRESS 2","FOREIGN MFG","LOT SIZE",COUNTRY
"July 2017","ARROW SET",123-1149,"Exceeds Phthalate Permanent Ban Limit","15 U.S.C. § 2063(a)(2)","Stop Sale and Correct Future Production","MAGIC SOURCE INTERNATIONAL LTD","2445 E. DOMINGUEZ ST.","CARSON, CA 90810","GAO MEI TRADING COMPANY",2400,CHINA
"July 2017","FOAM WATER SQUIRTER",,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","FX GUYS LLC","21002 N 19TH AVE STE 120","PHOENIX, AZ 850272706","SHANTOU CHENGHAI TOYBASE FACTORY",5040,CHINA
"July 2017","BILINGUAL SKI SCOOTER (BLUE)",11124,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","GEOSPACE PRODUCTS INC.","3931 LEARY WAY NORTHWEST","SEATTLE, WA 98107-5043","LEON & FASHION CORP.",2520,TAIWAN
"July 2017","MONEY BOX",8801,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","NORTHHILL TRADING LLC","1623 CENTRAL AVE, UNIT 201","CHEYENNE, WY 82001-4531","SHENZHEN LONG XIANG TECHNOLOGY CO LTD",48,CHINA
"July 2017","PLUSH UNICORN","ART. 15","Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","NORTHHILL TRADING LLC","1623 CENTRAL AVE, UNIT 201","CHEYENNE, WY 82001","SHENZHEN LONG XIANG TECHNOLOGY CO LTD",130,CHINA
"July 2017","RADIO FLYER TRICYCLE",415PS,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","RADIO FLYER, INC.","6515 WEST GRAND AVENUE","CHICAGO, IL 60707","HANGZHOU XIAOSHAN QIANHONG TRAFFIC MATERIAL CO LTD",200,CHINA
"July 2017","RADIO FLYER TRICYCLE",33,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","RADIO FLYER, INC.","6515 WEST GRAND AVENUE","CHICAGO, IL 60707","HANGZHOU XIAOSHAN QIANHONG TRAFFIC MATERIAL CO LTD",300,CHINA
"July 2017",DOLL,TY21633,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","JIDE TRADING, INC.","6021 BANDINI BLVD","LOS ANGELES, CA 90040","NINGBO BOSON IMP & EXP CO LTD",7200,CHINA
"July 2017",DOLL,TY21634,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","JIDE TRADING, INC.","6021 BANDINI BLVD","LOS ANGELES, CA 90040","NINGBO BOSON IMP & EXP CO LTD",7200,CHINA
"July 2017",DOLL,TY21635,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","JIDE TRADING, INC.","6021 BANDINI BLVD","LOS ANGELES, CA 90040","NINGBO BOSON IMP & EXP CO LTD",7200,CHINA
"July 2017","DRAIN COVERS",,"Failure to install covers that meet ASME/ANSI","Sec. 1404(c)(1)(A)(i)","Correct Future Production","THE HAVEN AT CRANBERRY WOODS","1000 CREEKVIEW CIRCLE","CRANBERRY TOWNSHIP, PA 16066",,1,USA
"July 2017","BOY'S POLO SHIRT",C-511-2016,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","LA POLA LLC","URB. LOS PASEOS CALLE SANTA CA","SAN JUAN, PR 00926","ASIAN MARL COMPANY LTD",8592,CHINA
"July 2017","5 PACK MONSTER PACK",980807,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","NATIONAL STORES INC (FALLAS INC)","15001 S FIGUEROA ST","GARDENA, CA 90248","SUNTOYS INTERNATIONAL CO. LTD.",1200,CHINA
"July 2017",TRUCK,20126DB,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","NATIONAL STORES INC (FALLAS INC)","15001 S FIGUEROA ST","GARDENA, CA 90248","SUNTOYS INTERNATIONAL CO. LTD.",960,CHINA
